,ms_leiden_2.5,AIFI_L3,AIFI_L1,AIFI_L1_Final,AIFI_L2,AIFI_L2_Final,AIFI_L3_Final
0,0,Core memory B cell,B cell ,Yes,Memory B cell,Yes,Yes
1,1,Core memory B cell,B cell ,Yes,Memory B cell,Yes,Yes
2,2,Core memory B cell,B cell ,Yes,Memory B cell,Yes,Yes
3,3,Core memory B cell,B cell ,Yes,Memory B cell,Yes,Yes
4,4,Core memory B cell,B cell ,Yes,Memory B cell,Yes,Yes
5,5,Core memory B cell,B cell ,Yes,Memory B cell,Yes,Yes
6,6,Core memory B cell,B cell ,Yes,Memory B cell,Yes,Yes
7,7,Core memory B cell,B cell ,Yes,Memory B cell,Yes,Yes
8,8,Core memory B cell,B cell ,Yes,Memory B cell,Yes,Yes
9,9,Core memory B cell,B cell ,Yes,Memory B cell,Yes,Yes
10,10,Type 2 polarized memory B cell,B cell ,Yes,Memory B cell,Yes,Yes
11,11,Core memory B cell,B cell ,Yes,Memory B cell,Yes,Yes
12,12,Core memory B cell,B cell ,Yes,Memory B cell,Yes,Yes
13,13,Core memory B cell,B cell ,Yes,Memory B cell,Yes,Yes
14,14,Core memory B cell,B cell ,Yes,Memory B cell,Yes,Yes
15,15,Early memory B cell,B cell ,Yes,Memory B cell,Yes,Yes
16,16,CD95 memory B cell,B cell ,Yes,Memory B cell,Yes,Yes
17,17,Activated memory B cell,B cell ,Yes,Memory B cell,Yes,Yes
18,18,Core memory B cell,B cell ,Yes,Memory B cell,Yes,Yes
19,19,Core memory B cell,B cell ,Yes,Memory B cell,Yes,Yes
20,20,Dying cells,Dying cells,Yes,Dying cells,Yes,Yes
