,leiden_resolution_1.5_nk-cells-dim,AIFI_L3,AIFI_L1,AIFI_L2
0,0,GZMK- CD56dim NK cell,NK cell,CD56dim NK cell
1,1,GZMK- CD56dim NK cell,NK cell,CD56dim NK cell
2,2,GZMK- CD56dim NK cell,NK cell,CD56dim NK cell
3,3,GZMK- CD56dim NK cell,NK cell,CD56dim NK cell
4,4,GZMK- CD56dim NK cell,NK cell,CD56dim NK cell
5,5,GZMK- CD56dim NK cell,NK cell,CD56dim NK cell
6,6,GZMK- CD56dim NK cell,NK cell,CD56dim NK cell
7,7,GZMK- CD56dim NK cell,NK cell,CD56dim NK cell
8,8,GZMK- CD56dim NK cell,NK cell,CD56dim NK cell
9,9,GZMK- CD56dim NK cell,NK cell,CD56dim NK cell
10,10,GZMK- CD56dim NK cell,NK cell,CD56dim NK cell
11,11,GZMK- CD56dim NK cell,NK cell,CD56dim NK cell
12,12,CD56dim Mito+ NK,NK cell,CD56dim NK cell
13,13,GZMK- CD56dim NK cell,NK cell,CD56dim NK cell
