,leiden_resolution_1.5,AIFI_L3,AIFI_L1,AIFI_L1_Final,AIFI_L2,AIFI_L2_Final,AIFI_L3_Final
0,0,GZMK- CD56dim NK cell,NK cell,Yes,CD56dim NK cell,Yes,Yes
1,1,GZMK- CD56dim NK cell,NK cell,Yes,CD56dim NK cell,Yes,Yes
2,2,GZMK- CD56dim NK cell,NK cell,Yes,CD56dim NK cell,Yes,Yes
3,3,GZMK+ CD56dim NK cell,NK cell,Yes,CD56dim NK cell,Yes,Yes
4,4,GZMK- CD56dim NK cell,NK cell,Yes,CD56dim NK cell,Yes,Yes
5,5,GZMK- CD56dim NK cell,NK cell,Yes,CD56dim NK cell,Yes,Yes
6,6,Adaptive NK cell,NK cell,Yes,CD56dim NK cell,Yes,Yes
7,7,CD56bright NK cell,NK cell,Yes,CD56bright NK cell,Yes,Yes
8,8,GZMK- CD56dim NK cell,NK cell,Yes,CD56dim NK cell,Yes,Yes
9,9,GZMK- CD56dim NK cell,NK cell,Yes,CD56dim NK cell,Yes,Yes
10,10,GZMK- CD56dim NK cell,NK cell,Yes,CD56dim NK cell,Yes,Yes
11,11,NK+T Doublets,NK cell,Yes,NK+T Doublets,Yes,Yes
12,12,NK+Erythocytes Doublet,NK cell,Yes,NK+Erythocytes Doublet,Yes,Yes
13,13,NK+Platelet Doublet,NK cell,Yes,NK+Platelet Doublet,Yes,Yes
14,14,ISG+ CD56dim NK cell,NK cell,Yes,CD56dim NK cell,Yes,Yes
15,15,GZMK- CD56dim NK cell,NK cell,Yes,CD56dim NK cell,Yes,Yes
16,16,Proliferating NK cell,NK cell,Yes,Proliferating NK cell,Yes,Yes
17,17,ILC,ILC,Yes,ILC,Yes,Yes
