,leiden_resolution_1,AIFI_L3,AIFI_L1,AIFI_L1_Final,AIFI_L2,AIFI_L2_Final,AIFI_L3_Final
0,0,Platelet,Platelet,Yes,Platelet,Yes,Yes
1,1,T+Erythocytes doublet,T+Erythocytes doublet,Yes,T+Erythocytes doublet,Yes,Yes
2,2,Platelet,Platelet,Yes,Platelet,Yes,Yes
3,3,T+Erythocytes doublet,T+Erythocytes doublet,Yes,T+Erythocytes doublet,Yes,Yes
4,4,Monocytes+Erythocytes doublet,Monocytes+Erythocytes doublet,Yes,Monocytes+Erythocytes doublet,Yes,Yes
5,5,T+Erythocytes doublet,T+Erythocytes doublet,Yes,T+Erythocytes doublet,Yes,Yes
6,6,Platelet,Platelet,Yes,Platelet,Yes,Yes
7,7,T+Erythocytes doublet,T+Erythocytes doublet,Yes,T+Erythocytes doublet,Yes,Yes
8,8,Erythrocyte,Erythrocyte,Yes,Erythrocyte,Yes,Yes
9,9,CMP cell,Progenitor cell,Yes,Progenitor cell,Yes,Yes
10,10,NK+Erythocytes doublet,NK+Erythocytes doublet,Yes,NK+Erythocytes doublet,Yes,Yes
11,11,B+Erythocytes doublet,B+Erythocytes doublet,Yes,B+Erythocytes doublet,Yes,Yes
12,12,CLP cell,Progenitor cell,Yes,Progenitor cell,Yes,Yes
13,13,Erythrocyte,Erythrocyte,Yes,Erythrocyte,Yes,Yes
14,14,Monocytes+Erythocytes doublet,Monocytes+Erythocytes doublet,Yes,Monocytes+Erythocytes doublet,Yes,Yes
15,15,Platelet,Platelet,Yes,Platelet,Yes,Yes
16,16,T+Erythocytes doublet,T+Erythocytes doublet,Yes,T+Erythocytes doublet,Yes,Yes
17,17,BaEoMaP cell,Progenitor cell,Yes,Progenitor cell,Yes,Yes
