,leiden_resolution_1.5_t-mait,AIFI_L3,AIFI_L1,AIFI_L1_Final,AIFI_L2,AIFI_L2_Final,AIFI_L3_Final
0,0,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
1,1,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
2,2,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
3,3,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
4,4,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
5,5,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
6,6,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
7,7,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
8,8,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
9,10,HBB+ MAIT,T cell,Yes,MAIT,Yes,Yes
10,11,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
11,12,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
12,13,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
13,14,CD4 MAIT,T cell,Yes,MAIT,Yes,Yes
14,15,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
15,16,ISG+ MAIT,T cell,Yes,MAIT,Yes,Yes
16,17,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
